videoTitle,url,id,start,stop
IMG_2983.mov,https://docs.google.com/file/d/1lAIlbS3L86p3_HrHd4wJzvyzs0NMQPLD/preview,1lAIlbS3L86p3_HrHd4wJzvyzs0NMQPLD,0,END
IMG_2987.mov,https://docs.google.com/file/d/12Dj0R8Vuelcw_-4v3J45HLPGARLZnUQP/preview,12Dj0R8Vuelcw_-4v3J45HLPGARLZnUQP,6869,11296
zoom_0.mp4,https://docs.google.com/file/d/1vtYzPf_NzLI_0DgS7jL58_d18oUO9Vj9/preview,1vtYzPf_NzLI_0DgS7jL58_d18oUO9Vj9,604000,625000
zoom_0.mp4,https://docs.google.com/file/d/1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov/preview,1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov,43769,85546
zoom_0.mp4,https://docs.google.com/file/d/1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov/preview,1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov,230407,271498
zoom_0.mp4,https://docs.google.com/file/d/1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov/preview,1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov,280790,322562
IMG_2197.MOV,https://docs.google.com/file/d/1Rh-DJxpI7q8rkTh7LQkxPa42UVeSHmyT/preview,1Rh-DJxpI7q8rkTh7LQkxPa42UVeSHmyT,0,END
IMG_2196.MOV,https://docs.google.com/file/d/1trqnPy7RcrWhyNiiIQ4bzNLqTXVO2HUg/preview,1trqnPy7RcrWhyNiiIQ4bzNLqTXVO2HUg,0,END
IMG_2192.MOV,https://docs.google.com/file/d/1CkYIZ-JDuWZamQjajBvnWCGyEnq1aCKQ/preview,1CkYIZ-JDuWZamQjajBvnWCGyEnq1aCKQ,0,END
zoom_0.mp4,https://docs.google.com/file/d/1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov/preview,1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov,370885,470555
zoom_0.mp4,https://docs.google.com/file/d/1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov/preview,1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov,482173,557727
zoom_0.mp4,https://docs.google.com/file/d/1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov/preview,1D0u3grLB3Mt-ZXSEWI7F4V3rCByN90Ov,571479,667347
